data,tags
 ntdll.dll kernel32.dll kernelbase.dll advapi32.dll msvcrt.dll sechost.dll rpcrt4.dll gdi32.dll user32.dll lpk.dll usp10.dll nsi.dll winnsi.dll comctl32.dll shlwapi.dll pcwum.dll shell32.dll secur32.dll sspicli.dll uxtheme.dll wevtapi.dll credui.dll vdmdbg.dll imm32.dll msctf.dll dwmapi.dll ole32.dll cryptbase.dll clbcatq.dll oleaut32.dll oleacc.dll imecfm.dll version.dll winsta.dll utildll.dll setupapi.dll cfgmgr32.dll devobj.dll netapi32.dll netutils.dll wkscli.dll logoncli.dll browcli.dll samcli.dll propsys.dll,normal
 rasapi32.dll rasman.dll,normal
 sfc.dll sfc_os.dll devicecenter.dll tquery.dll devicecenter.dll imageres.dll diagcpl.dll mssvp.dll mapi32.dll imageres.dll taskbarcpl.dll devicecenter.dll mssvp.dll mapi32.dll devicecenter.dll mssvp.dll mapi32.dll devicecenter.dll mssvp.dll mapi32.dll devicecenter.dll wfsr.dll wucltux.dll wucltux.dll imageres.dll imageres.dll ehres.dll shellbrd.dll netprojw.dll oobefldr.dll netprojw.dll sud.dll devicecenter.dll sensapi.dll actioncentercpl.dll mssvp.dll mapi32.dll imageres.dll sfc.dll sfc_os.dll,normal
 ntdll.dll kernel32.dll advapi32.dll msvcrt.dll sechost.dll rpcrt4.dll user32.dll gdi32.dll lpk.dll usp10.dll shlwapi.dll shell32.dll ole32.dll iertutil.dll urlmon.dll crypt32.dll msasn1.dll imm32.dll msctf.dll ieframe.dll psapi.dll oleacc.dll comctl32.dll wininet.dllnormaliz.dll sspicli.dll profapi.dll ntmarta.dll wldap32.dll ws2_32.dll dnsapi.dll cryptbase.dll clbcatq.dll nlaapi.dll netprofm.dll cryptsp.dll rsaenh.dll rpcrtremote.dll npmproxy.dll uxtheme.dll comdlg32.dll dwmapi.dll rasapi32.dll rasman.dll rtutils.dll sqmapi.dll sensapi.dll nlaapi.dll rasadhlp.dll msimg32.dll ieui.dll mswsock.dll wship6.dll winrnr.dll ieproxy.dll napinsp.dll pnrpnsp.dll version.dll explorerframe.dll duser.dll dui70.dll comctl32.dll imecfm.dll apphelp.dll netprofm.dll url.dll xmllite.dll npmproxy.dll dhcpcsvc.dll dhcpcsvc6.dll propsys.dll setupapi.dll cfgmgr32.dll devobj.dll msfeeds.dll sxs.dll peerdist.dll userenv.dll authz.dll mlang.dll msxml3.dll,normal
 ntdll.dll kernel32.dll kernelbase.dll advapi32.dll msvcrt.dll sechost.dll rpcrt4.dll user32.dll gdi32.dll lpk.dll shlwapi.dll shell32.dll ole32.dll iertutil.dll urlmon.dll oleaut32.dll crypt32.dll msasn1.dll imm32.dll msctf.dll ieframe.dll psapi.dll oleacc.dll comctl32.dll comdlg32.dll cryptbase.dll uxtheme.dll ieshims.dll rpcrtremote.dll dwmapi.dll sqmapi.dll clbcatq.dll propsys.dll ntmarta.dll wldap32.dll profapi.dll cryptsp.dll rsaenh.dll setupapi.dll cfgmgr32.dll devobj.dll ieproxy.dll sspicli.dll ws2_32.dll nsi.dll dnsapi.dll winnsi.dll mlang.dll apphelp.dll ssv.dll version.dll jp2ssv.dll msvcr100.dll deploy.dll imagehlp.dll sxs.dll rasapi32.dll rasman.dll rtutils.dll sensapi.dll nlaapi.dll rasadhlp.dll winrnr.dll napinsp.dll pnrpnsp.dll wship6.dll netprofm.dll npmproxy.dll dhcpcsvc.dll dhcpcsvc6.dll peerdist.dll userenv.dll authz.dll msls31.dll mshtml.dll iepeers.dll msimtf.dll jscript.dll imgutil.dll pngfilt.dll msimg32.dll imecfm.dll,normal
 ntdll.dll kernel32.dll kernelbase.dll advapi32.dll msvcrt.dll sechost.dll rpcrt4.dll comctl32.dll gdi32.dll user32.dll lpk.dll usp10.dll ole32.dll oleaut32.dll odbc32.dll shell32.dll shlwapi.dll wininet.dllnormaliz.dll urlmon.dll crypt32.dll msasn1.dll iertutil.dll winmm.dll ws2_32.dll nsi.dll msctf.dll odbcint.dll cryptbase.dll uxtheme.dll riched32.dll riched20.dll dwmapi.dll comctl32.dll clbcatq.dll oleacc.dll imecfm.dll version.dll tiptsf.dll msdart.dll cryptsp.dll rsaenh.dll rpcrtremote.dll oledb32.dll bcrypt.dll oledb32r.dll comsvcs.dll atl.dll bcryptprimitives.dll msjetoledb40.dll msjet40.dll mswstr10.dll msjter40.dll msjint40.dll msadox.dll msadrh15.dll msjtes40.dll vbajet32.dll expsrv.dll imecfm.dll msadce.dll msadcer.dll propsys.dll apphelp.dll ieframe.dll psapi.dll ntmarta.dll wldap32.dll setupapi.dll cfgmgr32.dll devobj.dll,caidao
 ntdll.dll kernel32.dll kernelbase.dll msvcrt.dll ole32.dll gdi32.dll user32.dll lpk.dll usp10.dll rpcrt4.dll imm32.dll msctf.dll cryptbase.dll clbcatq.dll advapi32.dll sechost.dll oleaut32.dll cryptsp.dll rsaenh.dll rpcrtremote.dll uxtheme.dll thumbcache.dll shlwapi.dll comctl32.dll psapi.dll propsys.dll,normal
 accessibility.ni.dll msftedit.dll mssvp.dll mapi32.dll wpdshext.dll audiodev.dll mssvp.dll mapi32.dll,normal
 advapi32.dll sechost.dll,normal
 ntdll.dll kernel32.dll kernelbase.dll msvcrt.dll combase.dll sechost.dll kernel.appcore.dll bcryptprimitives.dll oleaut32.dll advapi32.dll shcore.dll imm32.dll user32.dll gdi32.dll msctf.dll tquery.dll msshooks.dll msidle.dll clbcatq.dll ole32.dll cryptsp.dll bcrypt.dll rsaenh.dll cryptbase.dll mssprxy.dll mssph.dll authz.dll,normal
